_,_,_,_
151
13.90,0.54,0.55,0.71,0.47
14.00,0.55,0.54,0.71,0.48
14.10,0.54,0.54,0.71,0.47
14.20,0.55,0.54,0.71,0.48
14.30,0.54,0.55,0.71,0.48
14.40,0.53,0.54,0.71,0.48
14.50,0.54,0.52,0.71,0.47
14.60,0.54,0.53,0.71,0.47
14.70,0.54,0.53,0.71,0.47
14.80,0.54,0.53,0.71,0.48
14.90,0.54,0.51,0.71,0.48
15.00,0.55,0.51,0.71,0.48
